-0.018411 0.788864 -0.0108633 0.614196 0.00610645 -0.740874 -0.0184546 0.671363 -0.023556 -0.905906 -0.0622065 -0.418223 
-0.018385 0.788881 -0.0108279 0.614175 0.00604983 -0.740973 -0.0183341 0.671258 -0.023539 -0.905753 -0.0622109 -0.418554 
-0.0184484 0.788914 -0.0107982 0.614132 0.00609111 -0.740938 -0.0183245 0.671296 -0.0232219 -0.905933 -0.061969 -0.418217 
-0.0185681 0.788819 -0.0109232 0.614248 0.00610993 -0.740912 -0.0182366 0.671327 -0.0233201 -0.905931 -0.0619972 -0.418213 
-0.0185449 0.78883 -0.0111153 0.614231 0.0061767 -0.740883 -0.0183616 0.671355 -0.0232151 -0.905974 -0.0620466 -0.418119 
-0.0185825 0.788787 -0.0111171 0.614285 0.00617827 -0.740921 -0.0182905 0.671315 -0.0230646 -0.905885 -0.0619547 -0.418332 
-0.0187014 0.788723 -0.0111762 0.614363 0.00624653 -0.740903 -0.0183388 0.671333 -0.0231096 -0.905868 -0.0619023 -0.418374 
-0.0185579 0.788693 -0.011032 0.614409 0.00626677 -0.740925 -0.0183006 0.671309 -0.0226896 -0.905972 -0.0619057 -0.418172 
-0.0185376 0.788556 -0.0111589 0.614583 0.00627488 -0.740939 -0.0182984 0.671294 -0.0228529 -0.905955 -0.0618605 -0.418207 
-0.0184035 0.788484 -0.0110706 0.61468 0.00627488 -0.740939 -0.0182984 0.671294 -0.0229029 -0.905965 -0.0617945 -0.418192 
-0.0183879 0.788387 -0.0111082 0.614805 0.00630441 -0.740951 -0.0183274 0.671279 -0.0229029 -0.905965 -0.0617945 -0.418192 
-0.0185603 0.788298 -0.0111254 0.614913 0.00628518 -0.740782 -0.0184217 0.671463 -0.0229699 -0.906012 -0.0617184 -0.418098 
-0.0186204 0.788305 -0.0111638 0.614901 0.00632135 -0.740737 -0.0185499 0.671509 -0.0230512 -0.905995 -0.0616708 -0.418137 
-0.0186646 0.788289 -0.0111839 0.61492 0.00637123 -0.740789 -0.0186132 0.67145 -0.0230512 -0.905995 -0.0616708 -0.418137 
-0.0186951 0.788344 -0.0112455 0.614848 0.00643649 -0.740765 -0.0185763 0.671477 -0.0230169 -0.90593 -0.0618962 -0.418246 
-0.0188153 0.788442 -0.0114292 0.614715 0.00645553 -0.740756 -0.0186607 0.671484 -0.0228447 -0.90603 -0.0617817 -0.418055 
-0.018824 0.788467 -0.0112556 0.614687 0.00640845 -0.740774 -0.0186306 0.671465 -0.0230145 -0.90611 -0.0619167 -0.417854 
